LeftShoulder,RightShoulder,LeftHip,RightHip,Wrist,Elbow 
"[0.5754899382591248, 0.2625335156917572]","[0.46856746077537537, 0.2851412296295166]","[0.5424832701683044, 0.722239077091217]","[0.47401630878448486, 0.7129070162773132]","[0.5280801057815552, 0.722201406955719]","[0.5719465613365173, 0.512234091758728]"
"[0.5756422877311707, 0.2625221908092499]","[0.4683864712715149, 0.2869693636894226]","[0.5428946614265442, 0.7226529121398926]","[0.47400596737861633, 0.7136062383651733]","[0.5317026376724243, 0.7332747578620911]","[0.5714740753173828, 0.5124026536941528]"
"[0.5756822824478149, 0.2623051702976227]","[0.4683968424797058, 0.28796279430389404]","[0.5431261658668518, 0.7223687767982483]","[0.4740031063556671, 0.7137393951416016]","[0.5355947613716125, 0.7396997809410095]","[0.5714370012283325, 0.5124047994613647]"
"[0.5756833553314209, 0.26209384202957153]","[0.46841275691986084, 0.288491815328598]","[0.543016791343689, 0.7223827242851257]","[0.47387856245040894, 0.7144683003425598]","[0.5404297113418579, 0.7473474740982056]","[0.5715228319168091, 0.5123092532157898]"
"[0.5756462216377258, 0.26189184188842773]","[0.46849024295806885, 0.28878068923950195]","[0.5425927042961121, 0.7227330803871155]","[0.47386589646339417, 0.7153528332710266]","[0.5446614027023315, 0.7508103847503662]","[0.5716302990913391, 0.5123147964477539]"
"[0.5756481289863586, 0.2618265151977539]","[0.4684693515300751, 0.2890780568122864]","[0.5425702929496765, 0.723541796207428]","[0.4738866090774536, 0.7170261740684509]","[0.5475265979766846, 0.7596081495285034]","[0.5716251730918884, 0.5137878656387329]"
"[0.5756352543830872, 0.2615397274494171]","[0.4685245454311371, 0.2890724539756775]","[0.5425713062286377, 0.7236905694007874]","[0.4740343391895294, 0.7180588245391846]","[0.550835371017456, 0.7606087327003479]","[0.5716012716293335, 0.5140917897224426]"
"[0.5755628347396851, 0.26126888394355774]","[0.46853509545326233, 0.28913336992263794]","[0.5425799489021301, 0.7229316234588623]","[0.47422370314598083, 0.7180452346801758]","[0.5538684129714966, 0.7604835033416748]","[0.5715152025222778, 0.5139698386192322]"
"[0.5755383372306824, 0.2611166536808014]","[0.46853649616241455, 0.2891393005847931]","[0.5426731705665588, 0.7218024730682373]","[0.4743535816669464, 0.7180213332176208]","[0.5548051595687866, 0.7599534392356873]","[0.5714340209960938, 0.5138664245605469]"
"[0.5755377411842346, 0.26110753417015076]","[0.46852579712867737, 0.2893657684326172]","[0.5427830815315247, 0.7219855189323425]","[0.47440609335899353, 0.718203067779541]","[0.5577030777931213, 0.7607418298721313]","[0.5714538097381592, 0.5140489935874939]"
"[0.5755132436752319, 0.2610771059989929]","[0.468554824590683, 0.2894275188446045]","[0.542117714881897, 0.7222951054573059]","[0.4744011461734772, 0.7182638049125671]","[0.5589520931243896, 0.7615004777908325]","[0.5714617371559143, 0.5141927003860474]"
"[0.5754433870315552, 0.2610692083835602]","[0.4685450494289398, 0.28943055868148804]","[0.5421248078346252, 0.7232563495635986]","[0.47441014647483826, 0.7194697260856628]","[0.5606551766395569, 0.7641714811325073]","[0.571499228477478, 0.5142222046852112]"
"[0.5753746628761292, 0.26105841994285583]","[0.4685458540916443, 0.2894880771636963]","[0.5414588451385498, 0.7240797281265259]","[0.47434282302856445, 0.7200334668159485]","[0.562813937664032, 0.7673320174217224]","[0.5715624094009399, 0.5147842168807983]"
"[0.575373113155365, 0.26102113723754883]","[0.46850353479385376, 0.2895185649394989]","[0.5413658022880554, 0.7242318391799927]","[0.47431841492652893, 0.7200430035591125]","[0.5626840591430664, 0.7658156156539917]","[0.5716416239738464, 0.5146480798721313]"
"[0.5753583908081055, 0.2609591782093048]","[0.4685044288635254, 0.28953611850738525]","[0.541449785232544, 0.7240068912506104]","[0.4746150076389313, 0.7198975086212158]","[0.5616673231124878, 0.7645837664604187]","[0.5716572999954224, 0.5130661725997925]"
"[0.5752909183502197, 0.2607945501804352]","[0.46864232420921326, 0.2895382046699524]","[0.5418049693107605, 0.7225486040115356]","[0.47470706701278687, 0.7192372679710388]","[0.5615736246109009, 0.76362144947052]","[0.5716667771339417, 0.5113993883132935]"
"[0.5752877593040466, 0.2608765661716461]","[0.4686509370803833, 0.2894721031188965]","[0.5418158173561096, 0.7229379415512085]","[0.4745083153247833, 0.7193565368652344]","[0.5589022040367126, 0.7632628679275513]","[0.5717369914054871, 0.5114124417304993]"
"[0.5752860307693481, 0.26094183325767517]","[0.468659907579422, 0.28941473364830017]","[0.5418168902397156, 0.7232003211975098]","[0.47424280643463135, 0.7194260358810425]","[0.5572529435157776, 0.7630347013473511]","[0.5717794299125671, 0.511433482170105]"
